Year,LocationID,LocationName,Geography_Type,County,DataSource,Category,Measure,Short_Question_Text,MeasureId,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Unit,Data_Value_Type,TotalPop18plus,TotalPopulation,Latitude,Longitude
2023,19720,19720,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,14.4,12.2,16.8,%,Crude prevalence,47558,61043,39.6454667,-75.6044962
2023,19720,19720,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,13.9,12.2,15.7,%,Crude prevalence,47558,61043,39.6454667,-75.6044962
2023,19720,19720,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,29.9,26.0,33.8,%,Crude prevalence,47558,61043,39.6454667,-75.6044962
2022,19720,19720,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,39.2,34.2,44.5,%,Crude prevalence,47558,61043,39.6454667,-75.6044962
2023,19730,19730,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,16.9,14.4,19.6,%,Crude prevalence,379,472,39.4549542,-75.6610367
2023,19730,19730,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,8.7,6.7,11.0,%,Crude prevalence,379,472,39.4549542,-75.6610367
2023,19730,19730,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,18.8,15.2,22.7,%,Crude prevalence,379,472,39.4549542,-75.6610367
2022,19730,19730,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,30.7,26.3,35.6,%,Crude prevalence,379,472,39.4549542,-75.6610367
2023,19731,19731,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,17.2,14.7,20.0,%,Crude prevalence,276,329,39.5094336,-75.6012906
2023,19731,19731,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,10.5,8.4,12.8,%,Crude prevalence,276,329,39.5094336,-75.6012906
2023,19731,19731,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,20.3,16.5,24.0,%,Crude prevalence,276,329,39.5094336,-75.6012906
2022,19731,19731,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Short sleep duration among adults,Short Sleep Duration,SLEEP,31.7,27.2,36.7,%,Crude prevalence,276,329,39.5094336,-75.6012906
2023,19732,19732,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Binge drinking among adults,Binge Drinking,BINGE,15.8,13.5,18.5,%,Crude prevalence,200,223,39.8002958,-75.5745993
2023,19732,19732,ZCTA,New Castle,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,Current Cigarette Smoking,CSMOKING,6.3,4.6,8.7,%,Crude prevalence,200,223,39.8002958,-75.5745993
2023,19732,19732,ZCTA,New Castle,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,Physical Inactivity,LPA,15.4,12.2,19.2,%,Crude prevalence,200,223,39.8002958,-75.5745993
