City_Name,State,PLACES_Pct_Any_Disability,PLACES_Pct_Arthritis,PLACES_Pct_BP_Medication,PLACES_Pct_Binge_Drinking,PLACES_Pct_COPD,PLACES_Pct_Cancer_NonSkin,PLACES_Pct_Cholesterol_Screening,PLACES_Pct_Cognitive_Disability,PLACES_Pct_Colorectal_Screening,PLACES_Pct_Coronary_Heart_Disease,PLACES_Pct_Current_Asthma,PLACES_Pct_Current_Smoking,PLACES_Pct_Dental_Visit,PLACES_Pct_Depression,PLACES_Pct_Diabetes,PLACES_Pct_Fair_Poor_Health,PLACES_Pct_Food_Insecurity,PLACES_Pct_Food_Stamps,PLACES_Pct_Frequent_Mental_Distress,PLACES_Pct_Frequent_Physical_Distress,PLACES_Pct_Hearing_Disability,PLACES_Pct_High_Blood_Pressure,PLACES_Pct_High_Cholesterol,PLACES_Pct_Housing_Insecurity,PLACES_Pct_Independent_Living_Disability,PLACES_Pct_Lack_Social_Support,PLACES_Pct_Loneliness,PLACES_Pct_Mammography,PLACES_Pct_Mobility_Disability,PLACES_Pct_Obesity,PLACES_Pct_Physical_Inactivity,PLACES_Pct_Routine_Checkup,PLACES_Pct_Self_Care_Disability,PLACES_Pct_Short_Sleep,PLACES_Pct_Stroke,PLACES_Pct_Teeth_Lost_65Plus,PLACES_Pct_Transportation_Barrier,PLACES_Pct_Uninsured_18_64,PLACES_Pct_Utility_Shutoff_Threat,PLACES_Pct_Vision_Disability
Brookside,Delaware,31.5,24.1,57.3,15.9,6.7,7.0,84.4,15.7,56.1,5.8,10.9,14.5,59.0,23.0,11.9,20.3,18.5,16.1,17.9,13.5,5.8,33.6,34.7,15.4,9.0,23.6,33.5,76.7,14.1,35.4,28.8,76.8,4.0,37.4,3.4,12.7,10.2,11.3,10.1,5.5
Camden,Delaware,30.3,24.5,59.8,14.3,5.7,7.1,86.4,13.7,60.2,4.9,12.4,12.1,64.4,22.9,11.2,17.5,13.4,11.4,17.7,12.5,5.4,34.1,34.1,12.9,7.6,22.7,35.1,75.2,12.7,41.5,27.3,80.9,3.2,40.4,2.9,12.4,7.7,8.3,8.0,4.3
Cheswold,Delaware,38.1,27.2,61.9,12.7,8.2,6.6,83.5,17.8,55.1,6.3,13.5,17.5,50.2,23.6,14.5,25.2,23.3,22.7,20.4,15.8,6.4,39.4,34.8,19.7,11.0,26.4,37.9,72.9,17.8,47.0,36.3,80.8,5.0,45.3,3.9,27.5,12.2,12.1,12.9,6.8
Claymont,Delaware,27.3,22.5,57.3,16.2,5.2,6.9,86.4,13.3,60.3,5.0,10.5,11.7,62.9,21.4,10.5,16.5,14.5,11.8,16.4,11.5,4.9,32.1,33.8,13.1,7.2,23.4,33.1,77.3,11.7,33.4,24.6,77.8,3.1,36.8,2.9,11.2,8.3,8.6,8.4,4.3
Clayton,Delaware,30.4,24.3,59.4,14.9,5.5,6.7,86.3,13.9,62.0,4.7,12.4,12.3,63.6,22.7,11.2,17.5,13.3,11.1,18.0,12.5,5.0,34.3,33.6,13.1,7.5,23.7,35.9,76.6,12.8,42.1,27.7,80.6,3.1,41.6,2.9,13.0,7.6,8.5,7.7,4.3
Dagsboro,Delaware,28.9,24.3,59.7,17.0,6.7,7.1,84.4,14.8,62.1,5.5,11.1,16.3,66.1,23.4,9.6,18.2,14.8,12.2,17.6,13.2,5.9,32.6,37.2,11.9,8.3,22.4,33.5,77.6,12.2,33.8,26.5,78.0,3.3,33.4,3.0,12.9,7.9,10.2,7.6,4.5
Delaware City,Delaware,29.0,23.7,55.4,18.2,6.1,7.6,85.0,14.8,59.4,5.4,10.8,13.8,63.3,24.4,9.8,16.8,13.0,10.9,18.0,12.5,5.6,31.2,34.0,11.8,7.8,22.2,32.9,74.3,12.0,33.5,24.5,76.0,3.1,35.5,2.9,9.9,7.9,8.4,7.6,4.2
Delmar,Delaware,29.5,24.4,61.4,16.0,6.6,6.8,84.9,14.9,57.0,5.5,11.6,16.3,57.7,22.4,10.5,19.1,17.3,14.9,17.6,13.3,5.7,34.7,36.9,14.2,8.7,23.7,34.1,77.1,12.8,35.7,27.3,79.2,3.7,37.3,3.2,17.4,9.1,10.2,9.5,5.0
Dewey Beach,Delaware,20.0,21.6,57.7,19.5,4.0,8.2,88.2,9.5,67.1,4.4,10.0,8.9,72.5,22.1,6.9,10.5,5.9,4.4,13.7,9.3,5.0,27.9,36.5,5.7,4.9,15.7,27.9,80.6,7.4,28.8,15.7,79.1,1.9,29.9,2.1,6.6,4.1,4.5,4.0,2.5
Dover,Delaware,36.2,26.9,62.5,12.6,7.5,6.5,84.8,16.6,58.2,5.9,13.5,15.7,55.2,23.0,14.5,23.6,22.1,21.9,19.6,15.0,5.9,39.4,34.6,19.3,10.4,25.1,36.8,73.2,17.0,47.2,34.3,81.7,4.8,44.8,3.8,19.2,11.8,10.8,13.0,6.5
