GEOID,Geography_Name,County,State,Total_Population,Median_Age,Pct_Age_65_Plus,Median_Household_Income,Pct_Below_Poverty,Pct_No_Health_Insurance,Pct_Commute_Public_Transit,Pct_Broadband_Internet,Pct_NonEnglish_Language_Home
10003016200,Census Tract 162; New Castle County; Delaware,,,2664,49.4,22.6,98585.0,5.3,5.4,2.2,91.2,8.0
10003016301,Census Tract 163.01; New Castle County; Delaware,,,7042,39.1,16.3,87568.0,8.3,7.3,0.3,92.3,20.1
10003016306,Census Tract 163.06; New Castle County; Delaware,,,4485,45.3,15.9,113212.0,8.7,6.5,0.0,92.8,18.5
10003016307,Census Tract 163.07; New Castle County; Delaware,,,2457,45.6,14.4,108393.0,3.3,5.0,0.0,97.5,21.2
10003016308,Census Tract 163.08; New Castle County; Delaware,,,4169,38.1,7.1,57446.0,13.5,4.7,2.3,89.0,16.1
10003016309,Census Tract 163.09; New Castle County; Delaware,,,3574,41.7,17.6,61659.0,7.8,6.9,0.9,88.1,9.3
10003016401,Census Tract 164.01; New Castle County; Delaware,,,6863,42.6,10.3,126078.0,11.0,8.6,0.0,97.8,16.6
10003016404,Census Tract 164.04; New Castle County; Delaware,,,3109,41.0,16.8,82143.0,7.9,5.2,0.3,90.8,5.3
10003016608,Census Tract 166.08; New Castle County; Delaware,,,7177,44.5,25.3,113051.0,2.9,0.8,2.3,96.3,14.7
10003016609,Census Tract 166.09; New Castle County; Delaware,,,4777,48.1,15.1,181944.0,5.9,7.5,1.1,96.4,4.0
10003016610,Census Tract 166.10; New Castle County; Delaware,,,6890,37.8,26.2,78576.0,10.8,8.1,1.6,95.5,14.0
10003016611,Census Tract 166.11; New Castle County; Delaware,,,8349,38.7,9.4,136369.0,2.3,2.2,0.8,92.0,8.6
10003016612,Census Tract 166.12; New Castle County; Delaware,,,6655,46.3,21.4,162532.0,3.8,1.6,0.9,100.0,12.6
10003016613,Census Tract 166.13; New Castle County; Delaware,,,5682,32.3,23.0,93529.0,4.8,0.0,1.3,93.6,14.3
10003016614,Census Tract 166.14; New Castle County; Delaware,,,6953,36.8,8.3,129176.0,1.0,0.5,0.2,98.7,10.6
10003016805,Census Tract 168.05; New Castle County; Delaware,,,1757,46.8,18.4,101250.0,7.1,7.9,0.0,85.4,0.0
10003016806,Census Tract 168.06; New Castle County; Delaware,,,5508,37.0,8.6,127151.0,5.9,6.0,0.8,96.8,16.0
10003016807,Census Tract 168.07; New Castle County; Delaware,,,1615,39.1,4.8,171250.0,0.0,1.9,0.0,100.0,7.2
10003016808,Census Tract 168.08; New Castle County; Delaware,,,7031,40.6,14.3,126757.0,5.2,2.5,2.6,93.8,9.2
10003016901,Census Tract 169.01; New Castle County; Delaware,,,2278,41.0,19.7,91750.0,8.3,1.5,0.0,81.7,1.5
10003016904,Census Tract 169.04; New Castle County; Delaware,,,3512,39.2,10.5,89063.0,8.5,2.6,0.7,78.4,4.5
10003980100,Census Tract 9801; New Castle County; Delaware,,,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
10003990100,Census Tract 9901; New Castle County; Delaware,,,0,-666666666.0,-666666666.0,,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
10005050101,Census Tract 501.01; Sussex County; Delaware,,,4076,47.5,23.8,80203.0,4.7,5.7,0.0,84.8,4.4
10005050103,Census Tract 501.03; Sussex County; Delaware,,,5610,50.2,28.5,87154.0,8.0,2.3,0.2,95.3,5.3
10005050104,Census Tract 501.04; Sussex County; Delaware,,,5014,40.1,23.2,58449.0,15.8,11.7,0.3,83.8,27.0
10005050105,Census Tract 501.05; Sussex County; Delaware,,,5956,37.9,13.8,62438.0,11.3,8.2,0.4,84.4,16.6
10005050200,Census Tract 502; Sussex County; Delaware,,,4051,36.1,10.5,64292.0,14.6,11.3,0.0,85.7,13.2
