Column,Source,Source Key,Geography Level
BRFSS_Pct_Depression_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Depression,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Depression_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Depression_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Skin_Cancer_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Skin_Cancer,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Skin_Cancer_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Skin_Cancer_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Other_Cancer_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Other_Cancer,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Other_Cancer_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Other_Cancer_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Fair_Poor_Health_Sample_Size,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Fair_Poor_Health,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Fair_Poor_Health_CI_Low,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
BRFSS_Pct_Fair_Poor_Health_CI_High,CDC BRFSS state prevalence (2024),brfss_state,ZCTA (ZIP Code Tabulation Area)
